url,source,description
https://www.rss.app/feeds/tswtMNNRqiPOqVe6.xml,Reuters,Reuters World
https://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml,BBC,BBC US and Canada
https://feeds.bbci.co.uk/news/world/rss.xml,BBC,BBC World
https://feeds.npr.org/1004/rss.xml,NPR,NPR World
https://www.theguardian.com/world/americas/rss,The Guardian,Guardian Americas
https://www.theguardian.com/us-news/rss,The Guardian,Guardian US News
https://www.aljazeera.com/xml/rss/all.xml,Al Jazeera,Al Jazeera All
https://rsshub.app/apnews/topics/world-news,Associated Press,AP World News
https://www.cbc.ca/webfeed/rss/rss-world,CBC,CBC World
https://www.cbc.ca/webfeed/rss/rss-politics,CBC,CBC Politics
https://mexiconewsdaily.com/feed/,Mexico News Daily,Mexico News Daily
